keyword,count
rape,26
attack,24
harass*,18
molest*,14
insult,12
raped,6
child abuse,6
pinched,3
playboy,3
raping,3
rapist,2
outrage,2
seduce,1
took advantage of her,1
took advantage of me,1
brutalized,1
sex* abuse,1
