keyword,count
rape,235
incest*,64
raped,47
attack,44
harass*,43
sex* abuse,35
sex* assault,19
playboy,19
anti-rape,15
child abuse,15
sex* violence,10
molest*,8
clarence thomas,7
anita hill,7
raping,6
brutalized,5
outrage,4
pedophilia,3
insult,3
ravish,1
rapes,1
sodomized,1
fondling,1
rapist,1
