keyword,count
attack,181
harass*,168
rape,144
clarence thomas,134
playboy,108
raped,107
insult,71
child abuse,59
molest*,46
title ix,45
anita hill,41
outrage,26
raping,24
incest*,23
sex* abuse,17
brutalized,15
pinched,14
ladies' man,12
sex* assault,9
rapes,8
rapist,6
lady's man,6
ladies man,5
hanky panky,5
seduce,5
fondled,4
seduction,3
took advantage of me,3
sexually inappropriate,3
sodomy,3
pedophile,1
took advantage of her,1
anti-rape,1
fondling,1
interfered with her,1
