keyword,count
harass*,56
rape,31
attack,16
raped,15
outrage,5
molest*,4
playboy,3
sex* assault,3
sodomy,3
raping,2
rapes,2
insult,2
incest*,2
child abuse,2
sex* violence,1
seduction,1
hanky panky,1
sex* abuse,1
seduce,1
