keyword,count
attack,198
harass*,169
rape,142
playboy,123
clarence thomas,118
raped,107
insult,81
child abuse,61
molest*,47
anita hill,40
outrage,26
raping,24
incest*,22
sex* abuse,17
brutalized,16
pinched,14
ladies' man,13
sex* assault,11
rapes,7
rapist,6
lady's man,6
ladies man,6
hanky panky,5
seduce,5
fondled,4
seduction,3
took advantage of me,3
sexually inappropriate,3
sodomy,3
pedophile,1
took advantage of her,1
anti-rape,1
fondling,1
interfered with her,1
