keyword,count
rape,536
harass*,311
attack,200
raped,139
title ix,138
sex* abuse,112
incest*,95
sex* assault,78
sex* violence,75
child abuse,65
playboy,52
molest*,49
insult,39
outrage,27
raping,20
anti-rape,20
sodomy,17
hanky panky,15
clarence thomas,12
pedophile,12
anita hill,11
brutalized,8
rapes,8
seduce,7
pinched,7
pedophilia,5
rapist,3
took advantage of me,3
sex offender,3
took advantage of her,2
fondling,2
seduction,1
fellat*,1
ladies man,1
ravish,1
sodomized,1
fondled,1
bestial*,1
