keyword,count
rape,171
harass*,61
sex* assault,43
sex* violence,43
raped,39
sex* abuse,29
attack,20
incest*,17
playboy,15
molest*,12
pedophile,12
child abuse,9
outrage,8
insult,6
anti-rape,5
raping,5
rapes,3
pedophilia,2
sodomy,2
clarence thomas,1
pinched,1
seduce,1
anita hill,1
brutalized,1
